No,AQI
34054,14.09
34055,11.38
34056,17.05
34057,24.06
34058,21.76666667
34059,17.55
34060,20.35
34061,14.14
34062,17.6
34063,22.605
34064,23.67
34065,26.42
34066,28.19
34067,54.135
34068,46
34069,48.15
34070,52.94
34071,87.06
34072,88.97
34073,131.5453333
34074,93.01
34075,102.36
34076,112.85
34077,130.38
34078,119.1
34079,143.98
34080,118.31
34081,103.28
34082,85.47
34083,61.66
34084,55.61
34085,84.96
34086,84.955
34087,86.11
34088,107.32
34089,117.88
34090,117.23
34091,122.75
34092,161.45
34093,182
34094,161.6321667
34095,190.785
34096,248.483
34097,130.2332381
34098,227.0116667
34099,233.42
34100,221.84
34101,197.59
34102,159.12
34103,141.21
34104,113.71
34105,115.12
34106,105.55
34107,65.73
34108,56.11
34109,34.75
34110,28.19
34111,51.91
34112,53.69
34113,91.76
34114,90.24
34115,95.98
34116,130.27
34117,179.72
34118,189.76
34119,161.29
34120,138.34
34121,133.19
34122,220.05
34123,193.49
34124,164.79
34125,177.74
34126,163.15
34127,154.58
34128,156.12
34129,146.14
34130,141.69
34131,176.02
34132,182.31
34133,199.16
34134,191.22
34135,206.61
34136,202.85
34137,204.24
34138,196.08
34139,193.32
34140,192.18
34141,142.218
34142,218.67
34143,221.45
34144,196.75
34145,222.23
34146,220.47
34147,212.67
34148,242.8766667
34149,224.3166667
34150,169.148
34151,203.7456667
34152,240.9183333
34153,249.655
34154,187.68
34155,193.4
34156,188.2783333
34157,224.1856667
34158,199.5466667
34159,231.1
34160,245.85
34161,231.75
34162,231.69
34163,255.2866667
34164,254.89
34165,292.19
34166,342.6616667
34167,406.74
34168,356.696
34169,359.87
34170,487.54
34171,503.92
34172,413.3266667
34173,408.105
34174,388.66
34175,290.4
34176,308.01
34177,251.97
34178,245.943
34179,300
34180,232.98
34181,242.65
34182,253
34183,298.97
34184,314.03
34185,345.29
34186,339.31
34187,306.8366667
34188,247.12
34189,292.02
34190,280.36
34191,313.3
34192,358.24
34193,369.42
34194,333.36
34195,352.88
34196,344.32
34197,363.27
34198,309.53
34199,316.06
34200,294.69
34201,287.89
34202,264.96
34203,248.89
34204,187.4
34205,201.7483333
34206,211.02
34207,152.93
34208,133.08
34209,108.82
34210,149.9
34211,162.03
34212,168.39
34213,203
34214,251.16
34215,228.47
34216,206.0466667
34217,195.09
34218,176.3333333
34219,126.14
34220,124.29
34221,103.13
34222,110.33
34223,96.23
34224,82.09
34225,88.56333333
34226,88.78
34227,123.66
34228,63.05
34229,76.84
34230,84.63
34231,77.81
34232,81.05
34233,77.18
34234,73.27
34235,75.29
34236,70.53
34237,66.03
34238,69.64
34239,71.75
34240,62.53
34241,44.49
34242,52.86
34243,62.47
34244,58.1
34245,41.69
34246,52.84
34247,91.7
34248,85.47
34249,71.9
34250,65.18
34251,70.6
34252,82.88
34253,84.19
34254,84.5
34255,62.74
34256,64.33
34257,60.04
34258,64.22
34259,77.01
34260,132.0573333
34261,194.4
34262,104.55
34263,96.66
34264,157.68
34265,120.1
34266,112.81
34267,135.003
34268,123.64
34269,116.4357143
34270,138.61
34271,106.68
34272,113.79
34273,136.41
34274,129.69
34275,75.23
34276,51.21
34277,41.49
34278,24.3875
34279,31.53
34280,20.8
34281,25.73
34282,30.33
34283,28.28
34284,59.15
34285,61.02
34286,94.14
34287,134.83
34288,135.28
34289,177.17
34290,147.99
34291,143.78
34292,154.96
34293,164.22
34294,138.1275
34295,198.8316667
34296,225.96
34297,206.66
34298,188.71
34299,176.36
34300,216.8
34301,217.02
34302,215.96
34303,236.425
34304,255.98
34305,279.62
34306,323.9
34307,294.76
34308,297.78
34309,356.83
34310,350.783
34311,244.856
34312,246.7863333
34313,300.44
34314,295.0483333
34315,324.31
34316,354.3
34317,292.89
34318,248.4815
34319,270.19
34320,301.08
34321,250.82
34322,276.3
34323,274.98
34324,262.53
34325,289.548
34326,302.62
34327,304.23
34328,265.2528571
34329,272.86
34330,305.79
34331,317.36
34332,286.4366667
34333,211.5871429
34334,308.39
34335,220.4298333
34336,316.1483333
34337,353.23
34338,328.11
34339,309.58
34340,273.15
34341,285.83
34342,268.77
34343,302.78
34344,303.96
34345,301.09
34346,258.38
34347,218.63
34348,267.4306667
34349,300.71
34350,313.2133333
34351,338.9933333
34352,331.3233333
34353,290.82
34354,239.05
34355,253.31
34356,268.49
34357,270.99
34358,262.49
34359,273.69
34360,271.11
34361,267.17
34362,252.3
34363,245.01
34364,201.155
34365,216.2766667
34366,212.5257143
34367,220.72
34368,225.18
34369,203.7008333
34370,237.1233333
34371,235.558
34372,213.073881
34373,168.1095
34374,248.1258333
34375,284.73
34376,257.227
34377,287.4396667
34378,304.372
34379,278.19
34380,314.445
34381,324.3516667
34382,328.62
34383,304.26
34384,310.15
34385,302.87
34386,320.18
34387,326.25
34388,310.46
34389,322.605
34390,313.68
34391,288.75
34392,277.025
34393,279.31
34394,295.25
34395,218.64
34396,292.39
34397,290.29
34398,343.87
34399,314.68
34400,369.99
34401,388.92
34402,301.73
34403,302.64
34404,285.16
34405,278.588
34406,308.8833333
34407,317.0525
34408,334.6066667
34409,420.339
34410,306.3224524
34411,464.534
34412,447.67
34413,402.185
34414,347.7
34415,330.16
34416,320.26
34417,307.3666667
34418,310.24
34419,345.6166667
34420,363.46
34421,352.18
34422,387.15
34423,429.88
34424,435.35
34425,391.19
34426,369.23
34427,403.2
34428,366.14
34429,419.2221667
34430,462.5483333
34431,415.8033333
34432,417.055
34433,457.7666667
34434,390.75
34435,398.7383333
34436,373.7266667
34437,354.5973333
34438,368.8933333
34439,394.68
34440,392.53
34441,254.2189524
34442,402.69
34443,415.38
34444,457.44
34445,358.19
34446,380.08
34447,379.37
34448,349.17
34449,149.55
34450,98.02
34451,78.77
34452,61.525
34453,57.12
34454,54.62
34455,30.25
34456,28.52
34457,19.35
34458,18.48
34459,20.62
34460,15.66
34461,12.9
34462,11.88
34463,12.02
34464,11.71
34465,14.17
34466,14.61
34467,24.54
34468,18.42
34469,16.96
34470,25.24
34471,23.18
34472,18.6
34473,24.36
34474,54.64
34475,40.09
34476,57.794
34477,66.74
34478,72.16
34479,109.72
34480,42.34
34481,158.08
34482,135.97
34483,90.08
34484,214.5663333
34485,142.435
34486,87.68
34487,183.4183333
34488,98.36
34489,98.11466667
34490,119.3533333
34491,115.37
34492,91.02
34493,119.91
34494,88.625
34495,94.66
34496,124.085
34497,105.84
34498,110.15
34499,158.3614286
34500,185.6738889
34501,160.14
34502,158.45
34503,161.51
34504,195.3891667
34505,225.26
34506,187.4642857
34507,189.54
34508,165.59
34509,137.14
34510,122.01
34511,86.68
34512,55.89
34513,24.63
34514,15.16
34515,16.54
34516,15.42
34517,18.45
34518,13.48
34519,12.27
34520,17.44
34521,27.16
34522,46.84
34523,47
34524,69.66
34525,83.6
34526,98.46
34527,129.46
34528,136.41
34529,143.18
34530,138.465
34531,153.7233333
34532,127.3487381
34533,125.44
34534,158.83
34535,143.4033333
34536,162.064
34537,177.4016667
34538,128.62
34539,124.085
34540,102.9408333
34541,136.225
34542,114.35
34543,108.89
34544,132.26
34545,123.94
34546,135.56
34547,156.8
34548,163.6733333
34549,197.1766667
34550,231.17
34551,265.55
34552,203.8366667
34553,200.98
34554,181.3141667
34555,157.7985952
34556,179.78
34557,191.64
34558,208.59
34559,238.53
34560,354.5973333
34561,205.1036667
34562,253.5
34563,251.833
34564,224.39
34565,282.18
34566,265.09
34567,199.66
34568,220.75
34569,214.07
34570,233.44
34571,195.07
34572,195.29
34573,192.81
34574,213.21
34575,232.35
34576,206.09
34577,214.61
34578,209.69
34579,199.37
34580,105.08
34581,53.47
34582,44.79
34583,19.32
34584,11.34
34585,13.57
34586,12.64
34587,11.23
34588,16.87
34589,16.11
34590,10.6
34591,9.17
34592,8.75
34593,11.65
34594,12.72
34595,12.81
34596,10.96
34597,10.12
34598,11.12
34599,12.86
34600,11.42
34601,10.19
34602,16.98
34603,50.91
34604,43.07
34605,78.39
34606,60.94
34607,58.27
34608,31.07
34609,20.65
34610,26.89
34611,30.75
34612,25.79
34613,26.42
34614,28.42
34615,27.75
34616,31.41
34617,40.94
34618,46.26
34619,51.27
34620,46.3
34621,19.27
34622,15.34
34623,12.72
34624,12.05
34625,12.2
34626,11.94
34627,11.43
34628,20.95
34629,25.34
34630,23.19
34631,17.2
34632,22.91
34633,16.41
34634,21.76
34635,16.88
34636,23.24
34637,16.74
34638,12.04
34639,12.62
34640,12.11
34641,14.17
34642,38.06
34643,37.52
34644,43.13
34645,48.39
34646,63.4
34647,67.76
34648,69.36
34649,82.26
34650,115.5991667
34651,106.31
34652,121.88
34653,138.3796667
34654,136.11
34655,103.07
34656,75.69
34657,51.9
34658,30.97
34659,23.33
34660,20.12
34661,14.57
34662,19.15
34663,20.51
34664,28.09
34665,49.05
34666,42.35
34667,41.65
34668,40.49
34669,52.53
34670,65.71
34671,111.49
34672,126.36
34673,111.87
34674,109.12
34675,142.74
34676,164.88
34677,133.79
34678,149.16
34679,186.6493333
34680,173.91
34681,211.9349722
34682,227.88
34683,178.48
34684,165.7566667
34685,163.3
34686,170.12
34687,178.16
34688,163.06
34689,142.68
34690,169.6833333
34691,169.4490476
34692,183.807619
34693,209.46
34694,190.819
34695,146.2433333
34696,127.0897143
34697,142.626
34698,146.3875
34699,230.1445
34700,172.63
34701,156.67
34702,129.8263571
34703,116.64
34704,115.76
34705,116.15
34706,104.28
34707,140.83
34708,118.36
34709,121.21
34710,116.08
34711,116.94
34712,101.05
34713,92.43
34714,100.45
34715,83.92
34716,93.66
34717,90.74
34718,78.04
34719,77.04
34720,44.97
34721,46.84
34722,61.49
34723,50.00138095
34724,83.4795
34725,177.9816667
34726,98.07333333
34727,99.07666667
34728,130.105
34729,125.9414286
34730,109.1
34731,95.51
34732,103.26
34733,89.55666667
34734,111.35
34735,127.62
34736,131.57
34737,130.29
34738,151.228
34739,187.32
34740,175.3321667
34741,177.58
34742,159.2678333
34743,214.45
34744,263.17
34745,276.102
34746,272.65
34747,262.69
34748,265.82
34749,256.095
34750,264.58
34751,206.915
34752,201.51
34753,220.98
34754,210.09
34755,216.07
34756,191.14
34757,189.86
34758,188.02
34759,171.8
34760,179.11
34761,145.57
34762,118.04
34763,21.5
34764,19.83
34765,17.23
34766,20.31
34767,14.18
34768,17.16
34769,17.37
34770,24.23
34771,14.88
34772,16.58
34773,21.7
34774,13.05
34775,14.93
34776,14.06
34777,13.38
34778,14.31
34779,15.41
34780,14.36
34781,14.13
34782,16.09
34783,15.84
34784,15.61
34785,18.24
34786,22.83
34787,37.62
34788,41.21
34789,56.13
34790,57.99
34791,34.7
34792,25.17
34793,23.31
34794,22.8
34795,27.48
34796,35.47
34797,36.6
34798,34.25
34799,38.24
34800,25.47
34801,20.65
34802,13.17
34803,13.38
34804,17.1
34805,18.89
34806,21.17
34807,20.82
34808,22.61
34809,28.86
34810,33.33
34811,44.87
34812,37.42
34813,29.04
34814,31.35
34815,24.67
34816,22.94
34817,16.89
34818,15.79
34819,13.53
34820,17.52
34821,10.21
34822,20.82
34823,16.77
34824,14.24
34825,15.95
34826,11.48
34827,13.25
34828,18.44
34829,21.68
34830,22.42
34831,17.92
34832,22.42
34833,30.35
34834,37.11
34835,42.58
34836,52.67
34837,59.71
34838,63.51
34839,69.59
34840,66.4
34841,91.9
34842,115.77
34843,112.08
34844,96.5
34845,97.635
34846,128.8827857
34847,120.76
34848,89.75066667
34849,91.81
34850,84.02
34851,91.22
34852,93.568
34853,89.88
34854,88.45
34855,100.53
34856,103.72
34857,104.54
34858,88.79
34859,121.45
34860,137.27
34861,155.22
34862,154.62
34863,165.76
34864,135.47
34865,114.0466667
34866,117.7166667
34867,140.09
34868,138.7766667
34869,110.99
34870,98.65
34871,76.55
34872,78.52
34873,76.6795
34874,65.6425
34875,67.08
34876,64.3
34877,79.83
34878,87.03
34879,101.91
34880,114.08
34881,131.01
34882,145.24
34883,146.69
34884,146.83
34885,144.16
34886,183.07
34887,153.14
34888,172.01
34889,170.5066667
34890,154.597619
34891,136.9129524
34892,146.4708333
34893,164.07
34894,152.96
34895,166.29
34896,141.99
34897,140.4
34898,86.57
34899,35.69
34900,39.46
34901,49.8
34902,41.82
34903,29.04
34904,27.91
34905,45.53
34906,21.6
34907,24.26
34908,26.05
34909,18.54
34910,20.51
34911,20.16
34912,19.17
34913,23.85
34914,22.1
34915,16.42
34916,28.89
34917,21.94
34918,18.62
34919,19.99
34920,18.76
34921,30.32
34922,40.2
34923,58.92
34924,63.34
34925,74.14
34926,76.8
34927,77
34928,64.7
34929,62.67
34930,65.38
34931,62.35
34932,56.84
34933,47.38
34934,40.41
34935,37.5
34936,43.44
34937,48.8
34938,63.86
34939,78.2
34940,88.91038095
34941,88.51
34942,96.87
34943,104.41
34944,101.32
34945,92.02
34946,80.16
34947,71.14
34948,67.61
34949,75.45
34950,64.23
34951,60.84
34952,64.14
34953,54.38
34954,48.12
34955,28.17
34956,14.47
34957,12.88
34958,14.01
34959,11.77
34960,11.83
34961,12.45
34962,13.4
34963,9.37
34964,10.45
34965,9.69
34966,11.1
34967,10.5
34968,12.08
34969,12.8
34970,14.23
34971,18.08
34972,13.4325
34973,11.55
34974,10.28
34975,10.2
34976,9.5
34977,13.52
34978,12.4
34979,23.1
34980,22.7
34981,17.26
34982,28.68
34983,12.58
34984,9.28
34985,12.82
34986,13.41
34987,16.11
34988,21.72
34989,29.67
34990,34.27
34991,27.49
34992,22.87
34993,28.43
34994,37.31
34995,23.74
34996,24.22
34997,20.91
34998,26.85
34999,29
35000,36.01
35001,45.91
35002,48.12
35003,54.27
35004,52.43
35005,69.37
35006,72.01
35007,80.07
35008,64.48
35009,77.82
35010,115.81
35011,99.56
35012,123.09
35013,97.43
35014,89.19
35015,73.91
35016,53.54
35017,54.75
35018,36.58
35019,26.45
35020,36.31
35021,23.11
35022,13.71
35023,16.11
35024,14.69
35025,28.95
35026,50.02
35027,59.01
35028,127.31
35029,124.13
35030,74.25
35031,79.93666667
35032,167.95
35033,98.62
35034,102.95
35035,196.95
35036,149.86
35037,178.99
35038,140.68
35039,124.82
35040,138.8783333
35041,116.6
35042,102.6
35043,120.34
35044,132.52
35045,116.33
35046,131.97
35047,144.17
35048,141.62
35049,136.51
35050,116.71
35051,131.91
35052,174.62
35053,188.03
35054,183.79
35055,232.06
35056,240.64
35057,236.795
35058,256.845
35059,224.7266667
35060,258.24
35061,219.9
35062,219.12
35063,213.43
35064,219.64
35065,232.7
35066,211.75
35067,204.54
35068,191.29
35069,209.94
35070,159.97
35071,148.48
35072,135.26
35073,162.63
35074,171.34
35075,181.48
35076,216.38
35077,265.55
35078,277.28
35079,158.7696667
35080,308.43
35081,298.24
35082,301.94
35083,242.81
35084,206.38
35085,188.05
35086,190.2
35087,196.89
35088,184.09
35089,180.57
35090,176.23
35091,196.75
35092,182.29
35093,169.51
35094,151.14
35095,148.54
35096,131.43
35097,149.32
35098,151.88
35099,148.33
35100,137.695
35101,165.37
35102,172.2
35103,158.74
35104,185.98
35105,219.33
35106,211.11
35107,257.65
35108,279.53
35109,283.83
35110,266.64
35111,267.8
35112,299.72
35113,275.37
35114,255.01
35115,269.8
35116,280.59
35117,235.6
35118,188.82
35119,200.63
35120,225.34
35121,240.52
35122,302.03
35123,292
35124,326.5425
35125,338.3307619
35126,417.95
35127,352.36
35128,358.685
35129,362.93
35130,313.75
35131,282.76
35132,371.47
35133,284.02
35134,223.03
35135,247.78
35136,295.8
35137,315.07
35138,336.65
35139,244.65
35140,114.36
35141,105.61
35142,83.4
35143,77.87
35144,87.24
35145,86.43
35146,92.04
35147,91.68
35148,127.8
35149,114.2766667
35150,129.7233333
35151,127.87
35152,137.61
35153,123.9433333
35154,162.56
35155,164.6
35156,156.79
35157,164.97
35158,157.64
35159,179.13
35160,145.75
35161,125.1
35162,101.53
35163,88.22
35164,79.09
35165,74.21
35166,73.78
35167,109.43
35168,143.63
35169,134.58
35170,144.24
35171,172.35
35172,222.6777619
35173,215.46
35174,214.3
35175,212.1125
35176,99.53
35177,83.1
35178,70.08666667
35179,46.03
35180,60.54
35181,50.17
35182,45.73
35183,32.71
35184,18.69
35185,37.56
35186,24.26
35187,56.72
35188,34.32
35189,34.21
35190,33.32
35191,38.44
35192,58.45
35193,75.82
35194,52.96
35195,54.7
35196,79.775
35197,68.81
35198,84.01
35199,92.41
35200,63.62
35201,85.81
35202,81.35
35203,61.82
35204,54.07
35205,76.42
35206,70.17
35207,30.73
35208,25.82
35209,29.13
35210,22.39
35211,19.57
35212,16.71
35213,29.27
35214,16.1
35215,18.8
35216,24.1
35217,30.88
35218,37.49
35219,42.07
35220,50.44
35221,59.32
35222,76.86
35223,108.66
35224,126.83
35225,150.67
35226,136.27
35227,114.86
35228,115.68
35229,132.52
35230,154.82
35231,194.27
35232,170.34
35233,203.96
35234,218.77
35235,179.2
35236,168.995
35237,163.815
35238,98.06
35239,60.59
35240,28.33
35241,81.72
35242,131.22
35243,131.56
35244,132
35245,162.9
35246,143.47
35247,172.69
35248,162.84
35249,171.56
35250,176.78
35251,185.2
35252,216.72
35253,204.56
35254,172.185
35255,175.07
35256,174.4616667
35257,147.27
35258,126.66
35259,119.17
35260,72.18
35261,59.72
35262,58.49
35263,63.47
35264,47.97
35265,71.72
35266,64.77
35267,78.46
35268,101.23
35269,81.05
35270,93.24
35271,102.91
35272,122.74
35273,104.83
35274,165.76
35275,132.8
35276,119.13
35277,126.32
35278,128.57
35279,105.34
35280,80.69
35281,60.32
35282,60.36
35283,54.38
35284,91.9
35285,89.83
35286,78.89
35287,100.85
35288,107.06
35289,108.29
35290,107.59
35291,97.26
35292,80.26
35293,78.91
35294,70.09
35295,68.23
35296,65.29666667
35297,52.78
35298,62.075
35299,43.19
35300,29.89666667
35301,16.32
35302,10.64
35303,9.02
35304,13.48
35305,16.31
35306,18.48
35307,13.31
35308,12.42
35309,14.32
35310,9.74
35311,8.01
35312,8.88
35313,17.77
35314,19.12
35315,27.2
35316,20.83
35317,61.48
35318,98.15
35319,82.53
35320,62.63
35321,68.1
35322,94.87
35323,89.31
35324,89.76
35325,67.66
35326,73.94
35327,69.9
35328,77.56
35329,65.73
35330,53.32
35331,36.1
35332,33.53
35333,46.66
35334,45.38
35335,14.48
35336,20.22
35337,23.55
35338,18.14
35339,19.62
35340,61.49
35341,55.8085
35342,51.34
35343,83.52
35344,109.69
35345,59.7
35346,63.18
35347,85.21
35348,78.97
35349,134.48
35350,27.85
35351,10.11
35352,8.93
35353,11.13
35354,9.97
35355,6.48
35356,14.8
35357,19.52
35358,17.94
35359,20.47
35360,28.65
35361,36.98
35362,41.32
35363,49.98
